YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,NCHILD,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCWAGE,VETSTAT,VETSTATD
2023,202301,7896,2.023E+12,13932,2.023E+12,40301,1,2,8910,0,2,57,1,1,100,0,0,10,101,1,10,125000,1,11
2023,202301,8058,2.023E+12,26568,2.023E+12,20001,1,1,26406,1,2,33,4,1,100,0,0,10,101,1,10,111000,1,11
2023,202301,8220,2.023E+12,12798,2.023E+12,140201,1,1,12798,0,1,33,1,1,100,0,0,5,50,1,10,33600,1,11
2023,202301,8382,2.023E+12,40338,2.023E+12,270101,1,1,40338,0,1,30,6,1,100,0,0,11,114,1,10,70000,1,11
2023,202301,9192,2.023E+12,1944,2.023E+12,250001,1,1,1944,1,2,33,4,8,830,0,0,6,65,1,10,45000,1,11
2023,202301,9354,2.023E+12,10368,2.023E+12,280101,1,1,10530,2,2,50,1,1,100,0,0,6,63,1,10,42000,1,11
2023,202301,9354,2.023E+12,10368,2.023E+12,280101,1,2,8748,2,1,49,1,1,100,0,0,7,71,1,10,0,1,11
2023,202301,9516,2.023E+12,13122,2.023E+12,150101,1,1,13122,2,1,50,1,1,100,0,0,10,101,1,10,99000,1,11
2023,202301,9516,2.023E+12,13122,2.023E+12,150101,1,2,11826,2,2,51,1,1,100,0,0,8,81,1,10,45000,1,11
2023,202301,9840,2.023E+12,7614,2.023E+12,80001,1,1,7614,7,1,44,1,1,100,0,0,6,63,1,10,78000,1,11
2023,202301,10002,2.023E+12,90558,2.023E+12,140201,1,1,90558,4,1,42,1,2,200,0,0,10,101,1,10,150000,1,11
2023,202301,10002,2.023E+12,90558,2.023E+12,140201,1,2,89262,4,2,40,1,2,200,0,0,11,114,1,10,60000,1,11
2023,202301,10164,2.023E+12,17334,2.023E+12,150101,1,2,19764,0,1,59,1,1,100,0,0,11,115,1,10,480000,1,11
2023,202301,10326,2.023E+12,13284,2.023E+12,180101,1,1,13284,0,1,62,4,2,200,0,0,8,81,1,10,60000,2,20
2023,202301,10650,2.023E+12,9234,2.023E+12,140201,1,1,9234,2,1,62,1,1,100,0,0,10,101,1,10,69000,1,11
2023,202301,10650,2.023E+12,9234,2.023E+12,140201,1,3,8424,0,1,33,6,8,826,0,0,7,71,1,10,50000,1,11
2023,202301,10650,2.023E+12,9234,2.023E+12,140201,1,4,7290,0,2,30,6,8,826,0,0,10,101,1,10,75000,1,11
2023,202301,11136,2.023E+12,11664,2.023E+12,40301,1,1,11664,0,2,62,4,1,100,0,0,7,71,1,10,18000,1,11
2023,202301,11298,2.023E+12,4050,2.023E+12,230001,1,2,3564,1,1,58,6,2,200,0,0,6,63,1,10,840,1,11
2023,202301,11460,2.023E+12,11340,2.023E+12,70001,1,1,11340,0,1,54,1,1,100,0,0,8,81,1,10,88000,2,20
2023,202301,11784,2.023E+12,18468,2.023E+12,180101,1,2,18144,1,2,34,6,2,200,0,0,8,81,1,10,14400,1,11
2023,202301,11784,2.023E+12,18468,2.023E+12,180101,1,4,18144,0,2,34,6,2,200,0,0,10,101,1,10,21200,1,11
2023,202301,11946,2.023E+12,38880,2.023E+12,40301,1,4,54270,0,2,48,6,1,100,0,0,8,81,1,10,9000,1,11
2023,202301,11946,2.023E+12,38880,2.023E+12,40301,1,5,39690,0,2,40,6,1,100,0,0,11,114,1,10,33000,1,11
2023,202301,12270,2.023E+12,13446,2.023E+12,130101,1,1,13446,1,2,35,1,1,100,0,0,6,63,1,12,4000,1,11
2023,202301,12270,2.023E+12,13446,2.023E+12,130101,1,2,13122,1,2,37,1,1,100,0,0,6,65,1,10,100000,1,11
2023,202301,12594,2.023E+12,4536,2.023E+12,110001,1,1,4536,2,1,35,1,1,100,0,0,6,63,1,10,100000,1,11
2023,202301,12918,2.023E+12,9234,2.023E+12,220101,1,2,12312,2,1,35,1,1,100,0,0,7,71,1,10,55000,2,20
2023,202301,13242,2.023E+12,17172,2.023E+12,60001,1,2,12960,0,2,45,1,6,600,0,0,6,65,1,10,14000,1,11
2023,202301,13566,2.023E+12,3078,2.023E+12,230001,1,1,3078,2,1,55,1,1,100,0,0,6,65,1,10,42000,2,20
2023,202301,13566,2.023E+12,3078,2.023E+12,230001,1,2,3240,2,2,39,1,1,100,0,0,6,65,1,10,28000,1,11
2023,202301,13890,2.023E+12,16038,2.023E+12,160001,1,2,21546,0,1,61,1,1,100,0,0,6,64,1,10,70000,1,13
2023,202301,14052,2.023E+12,15390,2.023E+12,160001,1,1,15228,0,1,32,1,1,100,0,0,7,71,1,10,69000,1,11
2023,202301,14052,2.023E+12,15390,2.023E+12,160001,1,2,14418,0,2,32,1,1,100,0,0,10,101,1,10,80000,1,11
2023,202301,14214,2.023E+12,2592,2.023E+12,250001,1,2,7452,1,2,44,6,1,100,0,0,7,71,1,10,40000,1,11
2023,202301,14376,2.023E+12,4374,2.023E+12,210101,1,1,4212,0,1,42,3,8,802,0,0,6,65,1,10,38000,2,20
2023,202301,14538,2.023E+12,1458,2.023E+12,50101,1,1,1458,0,2,60,4,1,100,0,0,7,71,1,10,88000,2,20
2023,202301,14862,2.023E+12,18792,2.023E+12,140301,1,1,18954,0,1,33,6,1,100,0,0,11,115,1,10,88000,1,11
2023,202301,15186,2.023E+12,7776,2.023E+12,130101,1,1,7776,0,2,36,1,1,100,0,0,7,71,1,10,0,1,11
2023,202301,15186,2.023E+12,7776,2.023E+12,130101,1,2,9558,0,1,38,1,1,100,0,0,7,71,1,10,65000,1,11
2023,202301,15510,2.023E+12,12312,2.023E+12,40201,1,3,17982,0,1,32,6,1,100,0,0,8,81,1,10,3000,1,11
2023,202301,15672,2.023E+12,6642,2.023E+12,50101,1,1,6804,0,2,64,4,1,100,0,0,8,81,1,10,60000,1,11
2023,202301,15834,2.023E+12,20250,2.023E+12,130101,1,1,20250,1,1,51,1,1,100,0,0,8,81,1,10,90000,1,11
2023,202301,15834,2.023E+12,20250,2.023E+12,130101,1,2,25596,1,2,57,1,1,100,0,0,6,63,1,10,3800,1,11
2023,202301,15996,2.023E+12,18468,2.023E+12,40101,1,1,18468,1,2,51,1,1,100,0,0,10,101,1,10,37400,1,11
2023,202301,15996,2.023E+12,18468,2.023E+12,40101,1,2,28350,1,1,53,1,1,100,0,0,6,63,1,10,60000,1,11
2023,202301,16482,2.023E+12,9234,2.023E+12,60001,1,1,9234,0,2,61,1,1,100,0,0,6,65,1,10,30100,1,11
2023,202301,16644,2.023E+12,17334,2.023E+12,30001,1,1,17334,0,1,53,1,1,100,0,0,6,63,1,10,0,1,11
2023,202301,16644,2.023E+12,17334,2.023E+12,30001,1,2,18630,0,2,52,1,1,100,0,0,0,2,1,10,36000,1,11
2023,202301,17292,2.023E+12,37260,2.023E+12,140401,1,1,37260,0,1,41,6,1,100,0,0,10,101,1,10,89000,1,11
2023,202301,17454,2.023E+12,10854,2.023E+12,140301,1,1,11016,0,1,34,6,1,100,0,0,10,101,1,10,40000,1,11
2023,202301,17616,2.023E+12,5670,2.023E+12,50101,1,2,6642,0,1,59,1,1,100,0,0,6,63,1,10,80000,2,20
2023,202301,17778,2.023E+12,2754,2.023E+12,240001,1,1,2754,0,2,55,1,1,100,0,0,10,101,1,10,22000,2,20
2023,202301,17778,2.023E+12,2754,2.023E+12,240001,1,2,2592,0,1,61,1,1,100,0,0,6,65,1,10,73000,2,20
2023,202301,17940,2.023E+12,8262,2.023E+12,180201,1,2,11664,0,2,25,3,1,100,0,0,7,71,1,10,12900,1,11
2023,202301,17940,2.023E+12,8262,2.023E+12,180201,1,3,3888,0,1,25,3,1,100,1,100,7,71,1,10,43000,1,11
2023,202301,18102,2.023E+12,11988,2.023E+12,140201,1,1,12150,0,1,61,1,1,100,0,0,10,101,1,10,140000,1,11
2023,202301,18102,2.023E+12,11988,2.023E+12,140201,1,2,11178,0,2,58,1,1,100,0,0,10,101,1,10,75000,1,11
2023,202301,18264,2.023E+12,8748,2.023E+12,280301,1,1,8586,1,1,42,1,1,100,0,0,11,116,1,10,24000,1,11
2023,202301,18426,2.023E+12,3726,2.023E+12,230001,1,2,2916,0,2,28,2,1,100,0,0,6,63,1,10,19000,1,11
2023,202301,18426,2.023E+12,3726,2.023E+12,230001,1,3,3240,0,2,33,6,1,100,0,0,0,2,1,10,23000,1,11
2023,202301,18750,2.023E+12,9072,2.023E+12,260001,1,2,6156,1,1,26,6,1,100,0,0,0,2,1,10,20000,1,11
2023,202301,18912,2.023E+12,24948,2.023E+12,270201,1,1,24948,0,2,44,6,1,100,0,0,11,115,1,10,120000,1,11
2023,202301,19074,2.023E+12,15714,2.023E+12,100001,1,1,15552,0,1,64,3,1,100,0,0,4,40,1,10,90000,1,11
2023,202301,19236,2.023E+12,13122,2.023E+12,70001,1,3,20736,0,1,36,2,1,100,0,0,10,101,1,10,40000,1,11
2023,202301,19884,2.023E+12,12150,2.023E+12,70001,1,1,12150,0,2,37,1,1,100,0,0,7,71,1,10,410,1,11
2023,202301,20046,2.023E+12,11826,2.023E+12,230001,1,1,11664,0,1,28,6,2,200,0,0,7,71,1,10,40000,1,11
2023,202301,20208,2.023E+12,15228,2.023E+12,140301,1,2,17172,0,1,41,4,2,200,0,0,7,71,1,10,1700,1,11
2023,202301,20208,2.023E+12,15228,2.023E+12,140301,1,4,17334,0,1,44,6,2,200,0,0,10,101,1,10,58000,1,11
2023,202301,20370,2.023E+12,3402,2.023E+12,10001,1,1,3402,2,2,42,4,1,100,0,0,6,63,1,10,23900,1,11
2023,202301,20370,2.023E+12,3402,2.023E+12,10001,1,2,2754,0,1,19,6,1,100,0,0,6,63,1,10,13000,1,11
2023,202301,20856,2.023E+12,8100,2.023E+12,200001,1,1,7938,0,2,62,3,1,100,0,0,7,71,1,10,98000,1,11
2023,202301,21342,2.023E+12,23328,2.023E+12,40101,1,1,23328,0,1,62,6,1,100,0,0,6,63,1,10,8800,1,11
2023,202301,21828,2.023E+12,6966,2.023E+12,240001,1,1,6966,0,1,45,4,7,700,0,0,7,71,1,10,70000,1,11
2023,202301,21990,2.023E+12,22356,2.023E+12,70001,1,1,22356,1,1,52,1,1,100,0,0,8,81,1,10,100000,1,11
2023,202301,22152,2.023E+12,62694,2.023E+12,40101,1,1,62856,2,1,32,1,1,100,0,0,6,64,1,10,80000,1,11
2023,202301,22314,2.023E+12,35478,2.023E+12,220101,1,1,35316,0,1,62,1,1,100,0,0,6,61,1,10,25000,1,11
2023,202301,22638,2.023E+12,3402,2.023E+12,230001,1,1,3402,1,1,29,6,1,100,0,0,5,50,1,10,0,1,11
2023,202301,22638,2.023E+12,3402,2.023E+12,230001,1,2,2916,1,2,26,6,1,100,0,0,8,81,1,10,37000,1,11
2023,202301,22800,2.023E+12,49410,2.023E+12,150101,1,1,49410,0,1,64,6,1,100,0,0,6,63,1,10,0,1,11
2023,202301,22962,2.023E+12,7614,2.023E+12,280301,1,1,7614,2,1,47,1,1,100,0,0,11,115,1,10,150000,1,11
2023,202301,22962,2.023E+12,7614,2.023E+12,280301,1,2,11664,2,2,38,1,1,100,0,0,10,101,1,10,50000,1,11
2023,202301,23124,2.023E+12,49086,2.023E+12,110001,1,1,49086,0,1,62,4,1,100,0,0,6,63,1,10,92000,1,11
2023,202301,23448,2.023E+12,41958,2.023E+12,180201,1,1,41958,0,1,49,1,2,200,0,0,7,71,1,10,53000,1,11
2023,202301,23610,2.023E+12,12960,2.023E+12,30001,1,1,12960,0,1,51,1,1,100,0,0,7,71,1,10,75000,1,11
2023,202301,23610,2.023E+12,12960,2.023E+12,30001,1,2,14904,0,2,50,1,1,100,0,0,6,65,1,10,0,1,11
2023,202301,23772,2.023E+12,7614,2.023E+12,140401,1,1,7614,0,2,65,5,2,200,0,0,6,63,1,10,17000,1,11
2023,202301,23934,2.023E+12,12150,2.023E+12,20001,1,1,12150,0,2,21,6,1,100,0,0,6,65,1,10,20000,1,11
2023,202301,24096,2.023E+12,9234,2.023E+12,60001,1,1,9234,2,2,56,5,1,100,0,0,11,114,1,10,61000,1,11
2023,202301,24258,2.023E+12,49572,2.023E+12,40201,1,3,74034,0,2,41,1,2,200,0,0,11,114,1,10,50000,1,11
2023,202301,24258,2.023E+12,49572,2.023E+12,40201,1,4,70308,0,1,57,1,2,200,0,0,6,63,1,10,40000,1,11
2023,202301,24420,2.023E+12,19926,2.023E+12,40201,1,1,19926,0,2,37,6,1,100,0,0,11,114,1,10,52000,1,11
2023,202301,24420,2.023E+12,19926,2.023E+12,40201,1,2,22842,0,1,44,6,1,100,0,0,6,64,1,10,5000,1,11
2023,202301,24582,2.023E+12,13770,2.023E+12,150101,1,1,13608,0,1,59,1,1,100,0,0,10,101,1,10,60000,1,11
2023,202301,24582,2.023E+12,13770,2.023E+12,150101,1,2,11826,0,2,60,1,1,100,0,0,11,114,1,10,60000,1,11
2023,202301,25068,2.023E+12,22356,2.023E+12,60001,1,1,22356,5,1,45,1,1,100,0,0,11,114,1,10,165000,2,20
2023,202301,25068,2.023E+12,22356,2.023E+12,60001,1,2,11664,5,2,45,1,1,100,0,0,10,101,1,10,24000,1,11
2023,202301,25068,2.023E+12,22356,2.023E+12,60001,1,3,12474,0,1,21,6,1,100,0,0,6,64,1,10,24000,1,11
2023,202301,25068,2.023E+12,22356,2.023E+12,60001,1,8,12312,0,1,23,6,1,100,0,0,6,64,1,10,24000,1,11
2023,202301,25716,2.02301E+12,1458,2.023E+12,20002,4,1,1458,0,1,21,6,8,845,4,460,6,63,1,14,28000,1,12
2023,202301,25878,2.023E+12,28350,2.023E+12,30002,1,1,28350,2,1,34,1,8,802,0,0,7,71,1,10,30000,2,20
2023,202301,25878,2.023E+12,28350,2.023E+12,30002,1,2,45684,2,2,31,1,1,100,0,0,10,101,1,10,120000,1,11
2023,202301,26202,2.023E+12,46980,2.023E+12,30002,1,1,46980,0,2,36,1,1,100,0,0,6,65,1,10,0,1,11
2023,202301,26364,2.023E+12,2430,2.023E+12,40002,1,1,2430,1,1,57,5,3,381,0,0,6,63,1,10,30000,1,11
2023,202301,27012,2.023E+12,81324,2.023E+12,10202,1,2,104976,0,1,39,1,2,200,0,0,7,71,1,10,60000,1,11
2023,202301,27336,2.023E+12,2754,2.023E+12,40002,1,1,2754,7,1,50,1,3,381,0,0,6,63,1,10,8000,1,11
2023,202301,27336,2.023E+12,2754,2.023E+12,40002,1,2,4536,7,2,47,1,3,381,0,0,6,63,1,10,5000,1,11
2023,202301,27336,2.023E+12,2754,2.023E+12,40002,1,4,3078,0,2,23,6,3,380,0,0,6,63,1,10,31200,1,11
2023,202301,27660,2.023E+12,10692,2.023E+12,40002,1,1,10692,4,1,65,1,6,699,0,0,11,114,1,10,130000,1,11
2023,202301,27660,2.023E+12,10692,2.023E+12,40002,1,2,11826,4,2,54,1,6,699,0,0,7,71,1,10,30000,1,11
2023,202301,27660,2.023E+12,10692,2.023E+12,40002,1,3,18630,0,2,20,6,6,699,0,0,6,63,1,10,39000,1,11
2023,202301,27984,2.023E+12,12150,2.023E+12,20002,1,1,12312,0,1,62,1,1,100,0,0,10,101,1,10,20000,1,11
2023,202301,28146,2.023E+12,22032,2.023E+12,10202,1,3,60264,1,2,50,6,1,100,0,0,6,63,1,10,65000,1,11
2023,202301,28470,2.02301E+12,8424,2.023E+12,110104,4,1,8424,0,1,23,4,2,200,0,0,7,71,1,14,31700,1,12
2023,202301,32034,2.02301E+12,13608,2.023E+12,12204,4,1,13608,0,1,19,6,1,100,0,0,7,71,1,10,23000,1,11
2023,202301,32520,2.023E+12,14418,2.023E+12,10404,1,1,14256,0,1,37,1,1,100,1,100,10,101,1,10,145000,2,20
2023,202301,32682,2.023E+12,16362,2.023E+12,11804,1,1,16362,0,2,46,1,1,100,0,0,11,115,1,10,134000,1,11
2023,202301,32682,2.023E+12,16362,2.023E+12,11804,1,2,17658,0,1,50,1,1,100,0,0,10,101,1,10,110000,1,11
2023,202301,33006,2.023E+12,12474,2.023E+12,100004,1,2,11502,3,2,37,6,3,328,0,0,7,71,1,10,9600,1,11
2023,202301,33168,2.023E+12,10692,2.023E+12,11604,1,1,10530,1,2,33,2,1,100,0,0,10,101,1,10,60000,1,11
2023,202301,33330,2.023E+12,20574,2.023E+12,11604,1,1,20574,0,2,32,6,2,200,4,498,8,81,1,10,57000,1,11
2023,202301,33492,2.023E+12,11178,2.023E+12,10104,1,1,11178,2,2,48,1,1,100,0,0,10,101,1,10,10600,1,11
2023,202301,33492,2.023E+12,11178,2.023E+12,10104,1,2,12150,2,1,48,1,1,100,0,0,7,71,1,10,75000,1,11
2023,202301,33654,2.023E+12,11664,2.023E+12,12804,1,2,10206,1,1,52,1,1,100,0,0,6,63,1,10,56000,1,11
2023,202301,33654,2.023E+12,11664,2.023E+12,12804,1,3,10206,0,2,20,6,1,100,0,0,6,65,1,10,39200,1,11
2023,202301,33654,2.023E+12,11664,2.023E+12,12804,1,4,9558,0,1,25,3,1,100,0,0,6,63,1,10,61000,1,11
2023,202301,33816,2.023E+12,59454,2.023E+12,10304,1,1,59292,3,2,43,3,8,826,1,100,1,17,1,10,50000,1,11
2023,202301,33816,2.023E+12,59454,2.023E+12,10304,1,2,53622,0,2,24,6,8,826,1,100,7,71,1,10,54000,1,11
2023,202301,34140,2.023E+12,9396,2.023E+12,10504,1,1,9558,2,1,43,1,1,100,0,0,11,114,1,10,20000,1,11
2023,202301,34140,2.023E+12,9396,2.023E+12,10504,1,2,9072,2,2,33,1,1,100,0,0,6,65,1,10,47000,1,11
2023,202301,34464,2.023E+12,17820,2.023E+12,11404,1,1,17820,0,1,35,6,1,100,0,0,10,101,1,10,200000,1,11
2023,202301,34464,2.023E+12,17820,2.023E+12,11404,1,2,18630,0,2,31,6,1,100,0,0,10,101,1,10,100000,1,11
2023,202301,34788,2.023E+12,27216,2.023E+12,10504,1,1,27378,1,1,63,1,1,100,0,0,7,71,1,10,73000,2,20
2023,202301,34788,2.023E+12,27216,2.023E+12,10504,1,2,24300,1,2,56,1,1,100,0,0,7,71,1,10,74000,1,11
2023,202301,35112,2.023E+12,12798,2.023E+12,190304,1,1,12636,0,1,23,6,1,100,0,0,10,101,1,10,80000,1,11
2023,202301,35436,2.023E+12,8424,2.023E+12,10104,1,1,8424,0,2,59,1,1,100,0,0,6,65,1,10,81000,1,11
2023,202301,35436,2.023E+12,8424,2.023E+12,10104,1,2,8748,0,1,63,1,1,100,0,0,6,65,1,10,57000,1,11
2023,202301,35598,2.023E+12,16200,2.023E+12,70104,1,1,16362,2,1,35,1,1,100,0,0,6,63,1,10,0,1,11
2023,202301,35598,2.023E+12,16200,2.023E+12,70104,1,2,21870,2,2,34,1,1,100,0,0,11,114,1,10,8500,1,11
2023,202301,35922,2.023E+12,7776,2.023E+12,190404,1,1,7776,0,2,54,4,1,100,0,0,11,114,1,10,53000,1,11
2023,202301,35922,2.023E+12,7776,2.023E+12,190404,1,2,10044,0,1,56,4,1,100,0,0,11,115,1,10,106000,1,11
2023,202301,36408,2.023E+12,3240,2.023E+12,100004,1,1,3240,0,1,61,1,3,315,0,0,7,71,1,10,79000,1,11
2023,202301,36408,2.023E+12,3240,2.023E+12,100004,1,2,3564,0,2,59,1,3,315,0,0,6,63,1,10,3500,1,11
2023,202301,36732,2.023E+12,13446,2.023E+12,90004,1,2,10206,0,1,61,1,8,826,0,0,7,71,1,10,0,1,11
2023,202301,37056,2.023E+12,13932,2.023E+12,13504,1,1,13932,0,2,55,2,1,100,0,0,11,114,1,12,23300,1,11
2023,202301,37380,2.023E+12,3564,2.023E+12,100004,1,2,5994,0,2,48,6,3,315,0,0,7,71,1,10,50000,1,11
2023,202301,37542,2.023E+12,32724,2.023E+12,13404,1,1,32562,2,2,39,1,1,100,0,0,10,101,1,10,60000,1,11
2023,202301,37542,2.023E+12,32724,2.023E+12,13404,1,2,30618,2,1,44,1,1,100,0,0,6,63,1,10,112000,1,11
2023,202301,37704,2.023E+12,38070,2.023E+12,80304,1,1,38070,2,1,43,1,1,100,0,0,8,81,1,10,112000,1,11
2023,202301,37704,2.023E+12,38070,2.023E+12,80304,1,2,34020,2,2,43,1,1,100,0,0,8,81,1,10,52000,1,11
2023,202301,38028,2.023E+12,11178,2.023E+12,80504,1,2,25920,0,1,43,6,1,100,0,0,7,71,1,12,5600,1,11
2023,202301,38190,2.023E+12,12636,2.023E+12,10104,1,1,12636,0,1,58,1,1,100,0,0,6,64,1,10,64000,2,20
2023,202301,38190,2.023E+12,12636,2.023E+12,10104,1,2,13122,0,2,52,1,1,100,0,0,6,63,1,10,45000,1,11
2023,202301,38352,2.023E+12,21546,2.023E+12,12204,1,1,21384,0,1,32,6,8,826,1,100,8,81,1,10,6300,1,11
2023,202301,38352,2.023E+12,21546,2.023E+12,12204,1,2,21384,0,1,31,6,8,826,1,100,8,81,1,10,12700,1,11
2023,202301,38352,2.023E+12,21546,2.023E+12,12204,1,3,21384,0,1,34,2,8,826,1,100,8,81,1,10,1700,1,11
2023,202301,38676,2.023E+12,5670,2.023E+12,190404,1,1,5670,2,2,51,1,6,610,0,0,11,115,1,10,120000,1,11
2023,202301,38676,2.023E+12,5670,2.023E+12,190404,1,2,4536,2,1,54,1,6,610,0,0,11,115,1,10,250000,1,11
2023,202301,38838,2.023E+12,7128,2.023E+12,190504,1,1,7128,1,2,46,1,1,100,0,0,8,81,1,10,50000,1,11
2023,202301,39000,2.023E+12,29970,2.023E+12,11804,1,1,30132,1,2,32,1,8,826,1,100,7,71,1,10,40300,1,11
2023,202301,39000,2.023E+12,29970,2.023E+12,11804,1,2,35802,1,1,33,1,8,826,1,100,2,23,1,10,30000,1,11
2023,202301,39162,2.023E+12,12798,2.023E+12,11304,1,1,12960,0,1,63,5,5,500,0,0,10,101,1,10,13000,1,11
2023,202301,39486,2.023E+12,80352,2.023E+12,190204,1,1,80352,3,2,40,1,1,100,0,0,10,101,1,10,50000,1,11
2023,202301,39486,2.023E+12,80352,2.023E+12,190204,1,2,100440,3,1,40,1,8,826,1,100,7,71,1,10,85000,1,11
2023,202301,39486,2.023E+12,80352,2.023E+12,190204,1,3,103032,0,1,20,6,8,826,1,100,7,71,1,10,8000,1,11
2023,202301,39648,2.023E+12,13122,2.023E+12,190904,1,2,11664,0,2,64,1,7,700,1,100,10,101,1,10,40000,1,11
2023,202301,39972,2.023E+12,32886,2.023E+12,11204,1,1,32724,1,2,49,6,1,100,0,0,7,71,1,10,38000,1,11
2023,202301,40134,2.023E+12,17982,2.023E+12,12804,1,1,17982,1,2,42,6,8,826,0,0,8,81,1,10,40000,1,11
2023,202301,40134,2.023E+12,17982,2.023E+12,12804,1,2,17010,1,1,49,6,8,826,0,0,6,63,1,10,35000,1,11
2023,202301,40296,2.023E+12,19116,2.023E+12,12904,1,1,18954,0,2,62,4,1,100,0,0,6,61,1,10,24000,1,11
2023,202301,40620,2.023E+12,19926,2.023E+12,13304,1,1,19926,6,1,34,1,8,826,1,100,2,23,1,10,50000,1,11
2023,202301,40782,2.023E+12,17172,2.023E+12,190704,1,1,17172,0,1,53,2,7,700,1,100,6,63,1,10,50000,1,11
2023,202301,41430,2.023E+12,22194,2.023E+12,190904,1,1,22194,1,1,49,1,3,340,1,100,11,115,1,10,140000,1,11
2023,202301,41430,2.023E+12,22194,2.023E+12,190904,1,2,15390,1,2,46,1,1,100,0,0,11,115,1,10,100000,1,11
2023,202301,41592,2.023E+12,11826,2.023E+12,80304,1,1,11988,0,2,57,4,1,100,0,0,6,65,1,10,80000,1,11
2023,202301,41916,2.023E+12,13284,2.023E+12,12604,1,2,12798,1,1,50,1,1,100,0,0,6,63,1,10,50000,1,11
2023,202301,41916,2.023E+12,13284,2.023E+12,12604,1,4,12960,1,2,51,1,1,100,0,0,6,63,1,10,25000,1,11
2023,202301,42564,2.023E+12,34020,2.023E+12,70104,1,1,34020,3,2,42,1,8,826,4,416,6,63,1,10,58000,1,11
2023,202301,42564,2.023E+12,34020,2.023E+12,70104,1,2,40176,3,1,43,1,8,826,4,416,7,71,1,10,56000,1,11
